#Frame                com          pep          pro         bind
      1.2300       2.7807       1.8760       2.8068       2.0135
      1.2400       2.7975       1.9911       2.8015       2.1005
      1.2500       2.7526       1.9255       2.7628       2.0265
      1.2600       2.8304       1.9012       2.8619       2.0226
      1.2700       2.8139       1.9410       2.8317       2.0891
      1.2800       2.8523       1.9141       2.8704       2.0093
      1.2900       2.8397       1.7539       2.8718       1.9782
      1.3000       2.8183       1.7404       2.8602       1.9677
      1.3100       2.7551       1.6640       2.7905       1.9595
      1.3200       2.8541       1.7198       2.8890       2.0908
      1.3300       2.9332       1.7369       2.9608       2.1272
      1.3400       2.9572       1.7808       2.9986       2.1472
      1.3500       2.9136       1.6019       2.9557       2.1148
      1.3600       2.8252       1.5982       2.8646       2.0120
      1.3700       2.8305       1.7236       2.8638       2.1420
      1.3800       2.9949       1.6513       3.0484       2.1593
      1.3900       2.9280       1.6807       2.9607       2.0792
      1.4000       2.9118       1.6729       2.9451       2.0907
      1.4100       2.8548       1.7485       2.8765       2.0919
      1.4200       3.0098       1.8341       3.0356       2.1450
      1.4300       2.8926       1.7112       2.9332       2.0804
      1.4400       2.9635       1.7440       2.9962       2.1329
      1.4500       2.8688       1.6572       2.9043       2.0307
      1.4600       3.0036       1.7882       3.0273       2.2471
      1.4700       2.9664       1.6157       3.0059       2.1718
      1.4800       2.8530       1.6261       2.8864       2.1439
      1.4900       2.8493       1.7854       2.8748       2.1823
      1.5000       2.9230       1.7166       2.9486       2.2948
      1.5100       2.8585       1.6893       2.8759       2.1687
      1.5200       3.0183       1.7569       3.0488       2.1897
      1.5300       2.9285       1.7508       2.9469       2.1088
      1.5400       2.8549       1.6975       2.8921       2.1139
      1.5500       2.8471       1.7543       2.8866       2.1008
      1.5600       2.9007       1.7735       2.9346       2.1622
      1.5700       2.8236       1.7634       2.8566       2.0477
      1.5800       2.8515       1.7740       2.8765       2.0770
      1.5900       2.7941       1.7204       2.8210       2.0149
      1.6000       2.8168       1.6495       2.8399       2.0533
      1.6100       2.8720       1.5872       2.8981       2.0586
      1.6200       2.8145       1.6375       2.8383       2.0232
      1.6300       2.7424       1.6094       2.7584       2.0198
      1.6400       2.6627       1.5507       2.6860       1.9287
      1.6500       2.5996       1.5482       2.6120       1.9504
      1.6600       2.5928       1.6537       2.6054       2.0075
      1.6700       2.5254       1.6119       2.5326       1.9581
      1.6800       2.6745       1.5580       2.7003       1.9320
      1.6900       2.5753       1.5894       2.5938       1.8541
      1.7000       2.5331       1.6739       2.5486       1.9458
      1.7100       2.6323       1.6599       2.6349       2.0896
      1.7200       2.5657       1.5863       2.5674       1.9710
      1.7300       2.6905       1.5748       2.6812       2.0712
      1.7400       2.6067       1.5405       2.6176       1.9421
      1.7500       2.7254       1.5831       2.7431       1.9968
      1.7600       2.6418       1.6655       2.6483       2.0415
      1.7700       2.6210       1.5502       2.6375       2.0042
      1.7800       2.7094       1.6506       2.7259       2.0858
      1.7900       2.7436       1.7629       2.7510       2.1825
      1.8000       2.5760       1.6135       2.5921       1.9609
      1.8100       2.5737       1.6779       2.5662       2.0289
      1.8200       2.5904       1.5035       2.6044       1.9581
      1.8300       2.5970       1.5044       2.6165       1.9925
      1.8400       2.5487       1.5655       2.5697       1.9394
      1.8500       2.6370       1.6352       2.6514       2.0355
      1.8600       2.5846       1.7253       2.5823       2.0174
      1.8700       2.6721       1.6365       2.6846       2.0682
      1.8800       2.6031       1.6839       2.6184       2.0449
      1.8900       2.6361       1.6942       2.6335       2.0325
      1.9000       2.6444       1.7905       2.6421       2.1076
      1.9100       2.6962       1.6454       2.6885       2.0773
      1.9200       2.8138       1.7356       2.8244       2.1464
      1.9300       2.7917       1.8352       2.8027       2.1477
      1.9400       2.9048       1.9442       2.9159       2.2420
